run_id,scenario,uk_public_sector_applicability,decision_impact,consequence_severity,personal_data_usage,special_category_data,biometric_processing,childrens_data,dpia_exists,human_oversight_plan,appeals_mechanism,explainability_provision,bias_fairness_assessment,security_controls,monitoring_incident_response,supplier_transparency,primary_decision,constraint_decision,missing_critical,unclear_critical,fired_rules,reasons,constraint_reasons
20260201_030952_approve,approve,yes,advisory,low,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,approve,confirm,,,"r01,r05,r09,r11,r13,r15,r17,r19,r21,r23,r24","UK public-sector applicability confirmed. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | DPIA exists and is completed. | Human oversight plan exists. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing). | All minimum governance conditions met for low-risk approval.",Constraint: decision issuance confirmed.
20260201_030952_approve_with_safeguards,approve_with_safeguards,yes,fully_automated,low,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,approve_with_safeguards,confirm,,,"r01,r04,r05,r08,r09,r11,r13,r15,r17,r19,r21,r23","UK public-sector applicability confirmed. | Fully automated decision-making increases legitimacy risk. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | Safeguards required: fully automated decision-making (non-high severity) cannot be approved without additional controls. | DPIA exists and is completed. | Human oversight plan exists. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing).",Constraint: decision issuance confirmed.
20260201_030952_escalate,escalate,yes,human_supported,high,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,escalate,confirm,,,"r01,r03,r05,r09,r11,r13,r15,r17,r19,r21,r23,r25","UK public-sector applicability confirmed. | High consequence severity triggers stronger governance needs. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | DPIA exists and is completed. | Human oversight plan exists. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing). | Default escalation: jurisdiction confirmed but approval/rejection conditions not met; senior review required.",Constraint: decision issuance confirmed.
20260201_030952_reject_veto,reject_veto,yes,fully_automated,high,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,reject,veto,,,"r01,r03,r04,r05,r07,r09,r11,r13,r15,r17,r19,r21,r23","UK public-sector applicability confirmed. | High consequence severity triggers stronger governance needs. | Fully automated decision-making increases legitimacy risk. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | Reject triggered: fully automated decision-making with high consequence severity. | DPIA exists and is completed. | Human oversight plan exists. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing).",Constraint: vetoed because fully automated + high severity is not legitimate for deployment decision.
20260201_030952_refuse_missing_dpia,refuse_missing_dpia,yes,advisory,low,yes,no,no,no,,yes,yes,yes,yes,yes,yes,yes,refuse_to_decide,refuse_to_decide,dpia_exists,,"r01,r05,r06,r11,r13,r15,r17,r19,r21,r23","UK public-sector applicability confirmed. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | Refusal triggered: missing or unclear critical evidence, or jurisdiction unclear (refusal under uncertainty). | Human oversight plan exists. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing).",Constraint: missing critical evidence => refuse to decide.
20260201_030952_refuse_unclear_dpia,refuse_unclear_dpia,yes,advisory,low,yes,no,no,no,unclear,yes,yes,yes,yes,yes,yes,yes,refuse_to_decide,refuse_to_decide,,dpia_exists,"r01,r05,r06,r11,r13,r15,r17,r19,r21,r23","UK public-sector applicability confirmed. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | Refusal triggered: missing or unclear critical evidence, or jurisdiction unclear (refusal under uncertainty). | Human oversight plan exists. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing).",Constraint: unclear critical evidence => refuse to decide.
20260201_030952_refuse_jurisdiction_no,refuse_jurisdiction_no,no,advisory,low,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,refuse_to_decide,refuse_to_decide,,,"r02,r05,r06,r09,r11,r13,r15,r17,r19,r21,r23","Jurisdiction unclear or outside scope: system lacks authority to decide. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | Refusal triggered: missing or unclear critical evidence, or jurisdiction unclear (refusal under uncertainty). | DPIA exists and is completed. | Human oversight plan exists. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing).",Constraint: jurisdiction unclear => refuse to decide.
20260201_030952_refuse_jurisdiction_unclear,refuse_jurisdiction_unclear,unclear,advisory,low,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,refuse_to_decide,refuse_to_decide,,uk_public_sector_applicability,"r02,r05,r06,r09,r11,r13,r15,r17,r19,r21,r23","Jurisdiction unclear or outside scope: system lacks authority to decide. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | Refusal triggered: missing or unclear critical evidence, or jurisdiction unclear (refusal under uncertainty). | DPIA exists and is completed. | Human oversight plan exists. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing).",Constraint: unclear critical evidence => refuse to decide.
20260201_030952_escalate_dpia_no,escalate_dpia_no,yes,advisory,low,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,escalate,confirm,,,"r01,r05,r10,r11,r13,r15,r17,r19,r21,r23,r25","UK public-sector applicability confirmed. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | DPIA missing or not completed. | Human oversight plan exists. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing). | Default escalation: jurisdiction confirmed but approval/rejection conditions not met; senior review required.",Constraint: decision issuance confirmed.
20260201_030952_escalate_oversight_no,escalate_oversight_no,yes,advisory,low,yes,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,escalate,confirm,,,"r01,r05,r09,r12,r13,r15,r17,r19,r21,r23,r25","UK public-sector applicability confirmed. | Data/system profile indicates one or more of: personal data, special category data, biometric processing, or children's data; heightened governance attention required. | DPIA exists and is completed. | Human oversight plan missing. | Appeals and recourse mechanisms exist. | Explainability provision exists. | Bias/fairness assessment exists. | Security controls documented. | Monitoring & incident response exists. | Supplier transparency status recorded (present or missing). | Default escalation: jurisdiction confirmed but approval/rejection conditions not met; senior review required.",Constraint: decision issuance confirmed.
